 2.9342351854e-01	 2.9342350364e-01	 2.9342350364e-01	 2.9342350364e-01
 3.2347753644e-01	 3.2347744703e-01	 3.2347744703e-01	 3.2347744703e-01
 5.4506772757e-01	 5.7091309130e-01	 5.7091309130e-01	 5.4394401610e-01
 1.1077405512e-01	 1.1099748313e-01	 1.1099748313e-01	 1.1074213684e-01
 8.5365772247e-02	 8.5663676262e-02	 8.5663676262e-02	 8.5323214531e-02
 7.8067226708e-01	 7.8069558740e-01	 7.2610825300e-01	 7.2514656186e-01
 1.0562163740e+00	 1.0540891588e+00	 9.9887526035e-01	 9.9579402804e-01
 2.7485185862e-01	 2.7270787954e-01	 2.7271562815e-01	 2.7059549093e-01
 1.1790329218e-01	 8.3385050297e-02	 8.3392202854e-02	 8.3385050297e-02
 1.5565201640e-02	 1.5522420406e-02	 1.5529572964e-02	 1.5439331532e-02
 1.0562163740e+00	 1.0540891588e+00	 9.9887526035e-01	 9.9579402804e-01
